year,teamid,memberid
2002,1,1
2002,1,2
2002,1,12
2002,1,22
2002,1,75
2002,1,90
2006,1,1
2006,1,2
2006,1,12
2006,1,22
2006,1,59
2006,1,75
2006,1,90
2010,1,1
2010,1,2
2010,1,12
2010,1,22
2010,1,59
2010,1,75
2010,1,90
2010,1,58
2014,1,1
2014,1,12
2014,1,22
2014,1,58
2014,1,59
2014,1,75
2014,1,76
2014,1,90
2018,1,1
2018,1,2
2018,1,12
2018,1,22
2018,1,59
2018,1,70
2018,1,75
2018,1,76
2018,1,90
2018,1,58
2002,2,52
2002,2,51
2002,2,49
2002,2,41
2002,2,32
2002,2,77
2006,2,52
2006,2,51
2006,2,49
2006,2,41
2006,2,32
2006,2,77
2010,2,52
2010,2,51
2010,2,49
2010,2,41
2010,2,32
2010,2,77
2014,2,52
2014,2,51
2014,2,49
2014,2,41
2014,2,32
2014,2,77
2014,2,78
2014,2,91
2018,2,52
2018,2,51
2018,2,49
2018,2,41
2018,2,32
2018,2,77
2018,2,78
2018,2,91
2018,2,69
2002,3,3
2002,3,4
2002,3,6
2002,3,9
2002,3,89
2006,3,3
2006,3,4
2006,3,6
2006,3,9
2006,3,89
2006,3,92
2010,3,3
2010,3,4
2010,3,6
2010,3,9
2010,3,89
2010,3,92
2010,3,7
2010,3,8
2014,3,3
2014,3,4
2014,3,6
2014,3,9
2014,3,89
2014,3,92
2014,3,7
2014,3,8
2014,3,60
2018,3,3
2018,3,4
2018,3,6
2018,3,9
2018,3,89
2018,3,92
2018,3,7
2018,3,8
2018,3,60
2018,3,71
2018,3,73
2002,4,13
2002,4,14
2002,4,15
2002,4,16
2002,4,17
2002,4,18
2002,4,68
2006,4,13
2006,4,14
2006,4,15
2006,4,16
2006,4,17
2006,4,18
2006,4,68
2006,4,79
2010,4,13
2010,4,14
2010,4,15
2010,4,16
2010,4,17
2010,4,18
2010,4,68
2010,4,79
2010,4,93
2014,4,13
2014,4,14
2014,4,15
2014,4,16
2014,4,17
2014,4,18
2014,4,68
2014,4,79
2014,4,93
2018,4,13
2018,4,14
2018,4,15
2018,4,16
2018,4,17
2018,4,18
2018,4,68
2018,4,79
2018,4,93
2002,5,23
2002,5,24
2002,5,25
2002,5,26
2002,5,27
2002,5,28
2002,5,94
2006,5,23
2006,5,24
2006,5,25
2006,5,26
2006,5,27
2006,5,28
2006,5,94
2010,5,23
2010,5,24
2010,5,25
2010,5,26
2010,5,27
2010,5,28
2010,5,94
2014,5,23
2014,5,24
2014,5,25
2014,5,26
2014,5,27
2014,5,28
2014,5,94
2014,5,61
2018,5,23
2018,5,24
2018,5,25
2018,5,26
2018,5,27
2018,5,28
2018,5,94
2018,5,61
2010,6,39
2010,6,40
2010,6,19
2010,6,20
2010,6,62
2014,6,39
2014,6,40
2014,6,19
2014,6,20
2014,6,62
2018,6,39
2018,6,40
2018,6,19
2018,6,20
2018,6,62
2014,7,5
2014,7,10
2014,7,11
2014,7,21
2014,7,63
2018,7,88
2018,7,94
2018,7,5
2018,7,10
2018,7,11
2018,7,21
2018,7,63
2010,7,5
2010,7,10
2010,7,11
2010,7,21
2010,7,63
2010,8,29
2010,8,30
2010,8,33
2010,8,34
2010,8,95
2014,8,29
2014,8,30
2014,8,33
2014,8,34
2014,8,95
2014,8,31
2018,8,29
2018,8,30
2018,8,33
2018,8,34
2018,8,95
2018,8,31
2018,8,63
2010,9,35
2010,9,36
2010,9,38
2010,9,64
2014,9,80
2014,9,81
2014,9,35
2014,9,36
2014,9,38
2014,9,64
2018,9,80
2018,9,81
2018,9,35
2018,9,36
2018,9,38
2018,9,64
2018,9,44
2014,10,37
2014,10,45
2014,10,46
2014,10,50
2014,10,82
2014,10,96
2018,10,37
2018,10,45
2018,10,46
2018,10,50
2018,10,82
2018,10,96
2018,10,65
2018,11,47
2018,11,48
2018,11,54
2018,11,55
2018,11,57
2018,11,66
2018,11,74
2018,11,87
2018,11,97
2018,11,98
