id,date,time,stadium,homeyear,hometeamid,awayyear,awayteamid
1,2018/6/14,13:00,Luzhniki,2018,1,2018,2
2,2018/6/14,17:00,Luzhniki,2018,1,2018,5
3,2018/6/14,13:00,Ekaterinburg,2018,3,2018,4
4,2018/6/15,13:00,Ekaterinburg,2018,3,2018,5
5,2018/6/15,21:00,Ekaterinburg,2018,3,2018,2
6,2018/6/15,13:00,Saint Petersburg,2018,4,2018,1
7,2018/6/16,13:00,Saint Petersburg,2018,4,2018,2
8,2018/6/16,21:00,Saint Petersburg,2018,4,2018,5
9,2018/6/16,21:00,Luzhniki,2018,1,2018,3
10,2018/6/17,13:00,Kazan,2018,2,2018,5
11,2018/6/14,13:00,Saint Petersburg,2018,6,2018,7
12,2018/6/14,21:00,Saint Petersburg,2018,6,2018,8
13,2018/6/14,13:00,Nizhny Novgorod,2018,9,2018,10
14,2018/6/14,21:00,Nizhny Novgorod,2018,9,2018,11
15,2018/6/15,21:00,Saint Petersburg,2018,6,2018,9
16,2018/6/15,13:00,Fisht,2018,7,2018,8
17,2018/6/15,21:00,Fisht,2018,7,2018,10
18,2018/6/15,13:00,Kazan,2018,11,2018,6
19,2018/6/16,13:00,Kazan,2018,10,2018,6
20,2018/6/16,21:00,Kazan,2018,10,2018,11
21,2018/6/16,13:00,Fisht,2018,7,2018,9
22,2018/6/16,21:00,Nizhny Novgorod,2018,9,2018,8
23,2018/6/17,13:00,Fisht,2018,8,2018,10
24,2018/6/17,21:00,Fisht,2018,8,2018,11
25,2018/6/18,17:00,Kazan,2018,11,2018,7
26,2018/6/28,13:00,Luzhniki,2018,1,2018,2
27,2018/6/28,13:00,Fisht,2018,8,2018,5
28,2018/6/28,13:00,Ekaterinburg,2018,3,2018,4
29,2018/6/28,13:00,Nizhny Novgorod,2018,9,2018,7
30,2018/6/30,17:00,Saint Petersburg,2018,4,2018,1
31,2018/6/30,17:00,Fisht,2018,8,2018,9
32,2018/7/6,21:00,Luzhniki,2018,1,2018,9
33,2018/7/15,18:00,Saint Petersburg,2018,4,2018,8
