matchid,tick#,customerid,price
1,6100,3,105
1,6101,5,205
2,6102,22,105
2,6103,4,105
2,6104,5,105
3,6105,6,205
3,6106,44,105
3,6107,8,205
4,6108,9,105
4,6109,34,105
4,6110,11,105
5,6111,12,205
5,6112,78,105
6,6113,14,105
6,6114,15,305
6,6115,23,105
7,6116,17,205
7,6117,18,105
7,6118,6,205
8,6119,20,105
8,6120,21,105
8,6121,22,305
9,6122,23,105
9,6123,24,105
10,6124,5,105
10,6125,26,105
11,6126,27,305
11,6127,28,105
11,6128,29,105
12,6129,3,105
12,6130,31,205
12,6131,32,105
12,6132,33,105
13,6133,34,105
13,6134,35,105
14,6135,11,205
14,6136,37,105
15,6137,38,105
15,6138,39,105
15,6139,40,105
16,6140,41,205
16,6141,42,105
17,6142,22,105
17,6143,44,105
17,6144,45,105
18,6145,46,405
18,6146,47,105
18,6147,48,105
18,6148,2,105
19,6149,50,105
19,6150,51,405
19,6151,6,105
19,6152,53,105
19,6153,9,105
20,6154,55,105
20,6155,56,105
21,6156,57,105
21,6157,58,305
21,6158,12,105
22,6159,60,105
22,6160,61,105
22,6161,14,105
22,6162,63,305
22,6163,64,105
22,6164,65,105
23,6165,15,105
23,6166,67,205
24,6167,68,105
24,6168,69,105
24,6169,16,305
25,6170,71,105
25,6171,72,105
25,6172,73,105
26,6600,18,455
26,6601,75,655
26,6602,76,455
26,6603,77,455
26,6604,78,455
26,6605,12,455
26,6606,80,455
26,6607,81,455
26,6608,82,755
26,6609,83,455
26,6610,25,455
26,6611,85,455
26,6612,86,555
26,6613,87,455
27,6614,88,455
27,6615,27,455
27,6616,90,455
27,6617,91,655
27,6618,92,455
27,6619,24,455
27,6620,94,455
27,6621,95,455
27,6622,96,755
27,6623,97,455
27,6624,23,455
27,6625,99,455
28,6626,1,455
28,6627,45,555
28,6628,2,455
28,6629,3,455
28,6630,67,455
28,6631,5,655
28,6632,6,455
28,6633,7,455
28,6634,8,655
29,6635,9,455
29,6636,34,455
29,6637,11,455
29,6638,12,555
29,6639,13,455
29,6640,14,455
29,6641,78,455
29,6642,16,555
29,6643,17,455
29,6644,97,455
30,6645,19,550
30,6646,20,550
30,6647,21,550
30,6648,22,650
30,6649,34,750
30,6650,24,550
30,6651,25,650
30,6652,26,550
31,6653,27,550
31,6654,76,550
31,6655,29,650
31,6656,30,550
31,6657,31,750
31,6658,32,550
31,6659,4,550
31,6660,34,550
31,6661,35,750
31,6662,36,750
31,6663,37,550
31,6664,38,550
32,6665,2,550
32,6666,40,650
32,6667,41,650
32,6668,42,550
32,6669,6,550
32,6670,44,550
33,6671,12,1100
33,6672,46,1100
33,6673,47,1100
33,6674,48,1200
33,6675,14,1300
33,6676,50,1100
33,6677,51,1100
33,6678,52,1200
33,6679,16,1200
33,6680,54,1100
33,6681,55,1100
33,6682,56,1100
33,6683,1,1100
33,6684,5,1100
33,6685,59,1300
33,6686,60,1100
33,6687,61,1200
33,6688,62,1100
33,6689,3,1100
33,6690,1,1100
33,6691,65,1200
33,6692,66,1100
33,6693,67,1300
33,6694,13,1100
33,6695,69,1100
